cust_id,lookalikes
C0001,"[('C0005', 0.9999999999999999), ('C0009', 0.9999999999999999), ('C0026', 0.9999999999999999)]"
C0002,"[('C0090', 0.998423676165369), ('C0023', 0.9981683836947749), ('C0100', 0.9981683836947749)]"
C0003,"[('C0183', 0.9999944878772635), ('C0134', 0.9999609251369859), ('C0158', 0.9995151416596092)]"
C0004,"[('C0119', 0.9999999999999999), ('C0195', 0.9999999999999999), ('C0182', 0.9999995144290006)]"
C0005,"[('C0001', 0.9999999999999999), ('C0009', 0.9999999999999999), ('C0026', 0.9999999999999999)]"
C0006,"[('C0190', 0.9995731603559098), ('C0157', 0.9995240020251994), ('C0019', 0.9987652820135088)]"
C0007,"[('C0071', 0.9999715412516583), ('C0084', 0.9981194723181861), ('C0058', 0.996142129257863)]"
C0008,"[('C0096', 0.9999999999999999), ('C0155', 0.9999999999999999), ('C0085', 0.9999455021737358)]"
C0009,"[('C0001', 0.9999999999999999), ('C0005', 0.9999999999999999), ('C0026', 0.9999999999999999)]"
C0010,"[('C0111', 0.9999951451662302), ('C0194', 0.9999942758297593), ('C0053', 0.9999562234968393)]"
C0011,"[('C0043', 0.99260529697672), ('C0075', 0.9883014683263579), ('C0008', 0.9861476010411185)]"
C0012,"[('C0121', 0.9945850251018954), ('C0041', 0.9878397000008776), ('C0062', 0.986234005813885)]"
C0013,"[('C0039', 1.0000000000000002), ('C0187', 1.0000000000000002), ('C0016', 0.9995322560430514)]"
C0014,"[('C0105', 1.0), ('C0022', 0.9999665661080244), ('C0034', 0.9999665661080244)]"
C0015,"[('C0055', 1.0000000000000002), ('C0063', 1.0000000000000002), ('C0072', 1.0000000000000002)]"
C0016,"[('C0138', 0.9999999999999999), ('C0146', 0.9999999999999999), ('C0151', 0.9999999999999999)]"
C0017,"[('C0191', 0.9999966605945504), ('C0031', 0.9994123734517574), ('C0169', 0.9994123734517574)]"
C0018,"[('C0140', 1.0), ('C0198', 0.999988585339948), ('C0188', 0.9996828543094697)]"
C0019,"[('C0157', 0.9997734050635808), ('C0006', 0.9987652820135088), ('C0190', 0.9968880767823717)]"
C0020,"[('C0037', 0.9999999999999999), ('C0022', 0.9996468241139068), ('C0034', 0.9996468241139068)]"
C0021,"[('C0030', 0.9999598430712718), ('C0101', 0.9999020301325388), ('C0165', 0.9996468393556626)]"
C0022,"[('C0034', 1.0), ('C0050', 1.0), ('C0056', 1.0)]"
C0023,"[('C0100', 1.0), ('C0189', 1.0), ('C0090', 0.9999904162879957)]"
C0024,"[('C0154', 0.9988288120117448), ('C0102', 0.9977934955626148), ('C0178', 0.9969055055701513)]"
C0025,"[('C0194', 0.9975806279647529), ('C0010', 0.9973396977037854), ('C0111', 0.9971077160505412)]"
C0026,"[('C0001', 0.9999999999999999), ('C0005', 0.9999999999999999), ('C0009', 0.9999999999999999)]"
C0027,"[('C0028', 1.0), ('C0139', 1.0), ('C0156', 1.0)]"
C0028,"[('C0027', 1.0), ('C0139', 1.0), ('C0156', 1.0)]"
C0029,"[('C0082', 0.9999873516505078), ('C0045', 0.9979082144055623), ('C0020', 0.9974671759391446)]"
C0030,"[('C0021', 0.9999598430712718), ('C0108', 0.9998055641942489), ('C0101', 0.9997364355614278)]"
C0031,"[('C0169', 1.0000000000000002), ('C0095', 0.9996686061983994), ('C0098', 0.9995836790850277)]"
C0032,"[('C0107', 0.9992205954770846), ('C0150', 0.9991951850944993), ('C0124', 0.9990341321381951)]"
C0033,"[('C0110', 0.999181823447355), ('C0073', 0.998754272150145), ('C0147', 0.998754272150145)]"
C0034,"[('C0022', 1.0), ('C0050', 1.0), ('C0056', 1.0)]"
C0035,"[('C0149', 0.9889206803993255), ('C0011', 0.9858413153907697), ('C0043', 0.9760312653134761)]"
C0036,"[('C0112', 0.999998548883951), ('C0017', 0.9990144222940889), ('C0179', 0.9989230477869189)]"
C0037,"[('C0020', 0.9999999999999999), ('C0022', 0.9996468241139068), ('C0034', 0.9996468241139068)]"
C0038,"[('C0049', 0.9999999878819604), ('C0051', 0.9999994024257306), ('C0130', 0.9992511043205303)]"
C0039,"[('C0013', 1.0000000000000002), ('C0187', 1.0000000000000002), ('C0016', 0.9995322560430514)]"
C0040,"[('C0001', 0.9999999999999999), ('C0005', 0.9999999999999999), ('C0009', 0.9999999999999999)]"
C0041,"[('C0061', 0.9998452769776488), ('C0114', 0.9991472829328449), ('C0125', 0.9991472829328449)]"
C0042,"[('C0115', 0.9995874961098354), ('C0113', 0.999336927669573), ('C0086', 0.9985225236798781)]"
C0043,"[('C0075', 0.9995063151790573), ('C0008', 0.9989897589160278), ('C0096', 0.9989897589160278)]"
C0044,"[('C0079', 0.9927100528659879), ('C0083', 0.9927100528659879), ('C0160', 0.9919238167576506)]"
C0045,"[('C0022', 0.9985688060882387), ('C0034', 0.9985688060882387), ('C0050', 0.9985688060882387)]"
C0046,"[('C0068', 0.9999702504470556), ('C0200', 0.9999412033844928), ('C0131', 0.9993854038255614)]"
C0047,"[('C0174', 0.9999660689101771), ('C0051', 0.9991167177336199), ('C0049', 0.9990768816541765)]"
